DENGUE - Notificações registradas no Sistema de Informação de Agravos de Notificação - Minas Gerais
Casos Prováveis por Município de residência e Mês 1º Sintoma(s)
Período:2023
"Município de residência";"Jan";"Fev";"Mar";"Abr";"Mai";"Jun";"Jul";"Ago";"Set";"Out";"Nov";"Dez";"Total"
"310430 AREADO";2;-;3;11;16;3;1;2;1;2;1;54;96
"310440 ARGIRITA";6;9;1;19;11;3;-;-;-;-;-;1;50
"310445 ARICANDUVA";-;-;2;-;-;-;-;-;-;-;-;-;2
"310450 ARINOS";-;5;7;2;3;16;10;2;7;5;54;52;163
"310460 ASTOLFO DUTRA";-;1;5;2;6;1;-;1;-;-;-;20;36
"310470 ATALEIA";-;3;8;2;2;-;1;-;5;3;-;-;24
"310480 AUGUSTO DE LIMA";3;8;14;22;22;-;-;-;-;-;1;-;70
"310490 BAEPENDI";-;1;5;-;1;-;-;-;1;1;-;-;9
"310500 BALDIM";2;-;4;24;18;1;-;-;2;1;6;14;72
"310510 BAMBUI";-;1;16;26;17;9;-;-;-;-;-;-;69
"310520 BANDEIRA";2;1;-;-;1;-;-;-;-;-;1;-;5
"310530 BANDEIRA DO SUL";-;-;5;3;4;-;-;-;-;-;-;-;12
"310540 BARAO DE COCAIS";7;2;92;252;133;101;8;6;-;1;13;110;725
"310550 BARAO DE MONTE ALTO";158;39;25;1;2;-;-;-;-;-;1;-;226
"310560 BARBACENA";3;6;46;46;67;5;-;2;2;3;5;8;193
"310570 BARRA LONGA";-;9;178;110;44;18;1;-;1;-;-;-;361
"310590 BARROSO";1;-;5;5;12;4;-;2;2;-;12;191;234
"310600 BELA VISTA DE MINAS";-;6;49;69;53;1;2;-;-;-;1;-;181
"310610 BELMIRO BRAGA";-;-;-;-;-;-;-;-;1;-;-;1;2
"310620 BELO HORIZONTE";303;795;2924;4716;2543;611;175;142;173;181;313;972;13848
"310630 BELO ORIENTE";13;10;29;37;61;11;6;5;4;7;15;40;238
"310640 BELO VALE";1;-;9;9;2;-;1;1;-;2;1;1;27
"310650 BERILO";-;2;10;8;3;3;9;3;7;29;27;27;128
"310660 BERTOPOLIS";-;-;3;-;-;1;-;-;-;-;-;-;4
"310665 BERIZAL";-;1;2;1;-;-;-;-;-;-;2;-;6
"310670 BETIM";97;318;1861;3556;2813;787;200;113;109;199;340;584;10977
"310680 BIAS FORTES";-;-;-;-;-;-;-;-;-;-;-;-;-
"310690 BICAS";-;19;59;126;111;15;4;2;8;1;2;-;347
"310700 BIQUINHAS";31;145;109;30;6;-;-;-;-;-;1;-;322
"310710 BOA ESPERANCA";-;4;169;495;272;39;1;1;1;-;1;1;984
"310720 BOCAINA DE MINAS";-;-;-;-;-;-;-;1;-;-;1;-;2
"310730 BOCAIUVA";137;530;497;140;146;97;49;98;62;253;768;1083;3860
"310740 BOM DESPACHO";13;71;285;145;70;23;15;6;1;7;158;66;860
"310750 BOM JARDIM DE MINAS";-;-;2;-;1;-;-;-;-;-;-;-;3
"310760 BOM JESUS DA PENHA";1;8;58;31;11;-;-;-;-;-;-;-;109
"310770 BOM JESUS DO AMPARO";-;1;1;2;17;8;1;-;2;-;-;2;34
"310780 BOM JESUS DO GALHO";19;13;28;18;23;17;3;1;-;-;1;4;127
"310790 BOM REPOUSO";-;-;-;-;-;-;-;-;-;-;-;-;-
"310800 BOM SUCESSO";-;5;35;64;38;3;1;-;-;-;-;10;156
"310810 BONFIM";2;1;16;35;41;11;2;-;1;1;1;8;119
"310820 BONFINOPOLIS DE MINAS";1;25;71;203;45;33;5;-;-;-;-;-;383
"310825 BONITO DE MINAS";149;90;12;14;4;-;-;-;-;1;1;-;271
"310830 BORDA DA MATA";3;-;-;4;4;1;1;-;-;-;1;4;18
"310840 BOTELHOS";-;-;-;-;-;-;-;-;1;-;-;-;1
"310850 BOTUMIRIM";4;16;34;23;8;3;3;1;1;-;-;1;94
"310855 BRASILANDIA DE MINAS";32;201;358;126;23;1;1;-;-;1;-;3;746
"310860 BRASILIA DE MINAS";24;165;98;14;-;-;-;1;-;3;24;30;359
"310870 BRAS PIRES";3;1;1;1;2;-;1;-;-;-;-;-;9
"310880 BRAUNAS";4;4;6;9;7;7;2;-;-;1;-;3;43
"310890 BRAZOPOLIS";-;1;2;4;4;-;-;-;-;-;-;-;11
"310900 BRUMADINHO";7;37;62;116;138;25;12;6;7;12;19;94;535
"310910 BUENO BRANDAO";-;-;-;3;-;-;-;-;-;-;-;-;3
"310920 BUENOPOLIS";1;19;11;17;7;2;-;1;-;1;-;4;63
"310925 BUGRE";5;4;37;39;17;6;5;-;1;6;-;4;124
"310930 BURITIS";8;10;13;30;82;77;34;8;12;37;196;307;814
"310940 BURITIZEIRO";13;188;481;184;52;13;4;1;-;1;5;3;945
"310945 CABECEIRA GRANDE";-;14;16;34;45;35;6;9;6;3;52;15;235
"310950 CABO VERDE";1;2;4;2;-;-;1;-;-;2;-;-;12
"310960 CACHOEIRA DA PRATA";3;-;2;20;6;2;2;-;-;-;4;-;39
"310970 CACHOEIRA DE MINAS";-;1;-;-;-;-;-;-;-;-;-;-;1
"310980 CACHOEIRA DOURADA";-;8;20;8;15;2;1;2;4;2;-;-;62
"310990 CAETANOPOLIS";125;250;274;131;76;17;11;5;1;1;-;1;892
"311000 CAETE";7;9;27;86;122;73;20;12;15;27;12;14;424
"311010 CAIANA";-;5;6;13;16;8;-;1;-;-;-;6;55
"311020 CAJURI";-;2;1;3;21;4;-;-;-;-;-;-;31
"311030 CALDAS";-;-;1;-;-;-;-;-;-;-;-;-;1
"311040 CAMACHO";-;-;2;5;2;-;-;-;-;-;2;4;15
"311050 CAMANDUCAIA";-;-;2;-;-;-;-;1;-;-;-;-;3
"311060 CAMBUI";-;1;4;2;-;1;-;-;-;2;5;2;17
"311070 CAMBUQUIRA";-;-;6;24;9;1;-;-;-;-;-;1;41
"311080 CAMPANARIO";-;3;8;3;3;-;-;1;-;1;1;-;20
"311090 CAMPANHA";5;5;7;16;13;1;-;-;1;-;-;-;48
"311100 CAMPESTRE";-;-;1;1;3;-;-;-;-;1;-;-;6
"311110 CAMPINA VERDE";75;130;152;145;74;7;4;3;4;1;1;4;600
"311115 CAMPO AZUL";-;3;-;5;3;1;-;-;-;1;1;-;14
"311120 CAMPO BELO";6;3;10;12;15;3;-;1;-;-;2;27;79
"311130 CAMPO DO MEIO";-;28;36;7;1;-;-;-;-;-;-;-;72
"311140 CAMPO FLORIDO";3;2;12;11;5;4;-;-;-;-;2;-;39
"311150 CAMPOS ALTOS";1;2;64;128;231;34;7;2;-;1;-;-;470
"311160 CAMPOS GERAIS";-;-;8;16;13;2;3;1;-;-;-;2;45
"311170 CANAA";-;2;2;2;1;-;-;-;-;-;-;-;7
"311180 CANAPOLIS";3;12;15;36;28;11;9;2;3;-;1;1;121
"311190 CANA VERDE";1;1;4;44;35;8;1;1;-;-;4;19;118
"311200 CANDEIAS";-;1;5;11;8;1;-;-;-;-;2;8;36
"311205 CANTAGALO";-;-;-;2;8;1;-;-;-;-;-;-;11
"311210 CAPARAO";-;1;15;18;5;1;-;-;-;-;1;1;42
"311220 CAPELA NOVA";-;1;-;-;1;-;-;-;-;-;-;-;2
"311230 CAPELINHA";-;1;13;10;12;5;1;1;3;8;3;2;59
"311240 CAPETINGA";-;1;11;48;73;21;1;-;-;-;-;-;155
"311250 CAPIM BRANCO";4;3;1;32;9;3;-;-;-;3;9;108;172
"311260 CAPINOPOLIS";81;236;270;123;37;1;3;-;2;2;5;-;760
"311265 CAPITAO ANDRADE";1;1;15;18;14;2;-;1;5;53;26;1;137
"311270 CAPITAO ENEAS";22;7;2;1;1;-;-;-;-;-;-;1;34
"311280 CAPITOLIO";125;266;359;334;165;35;4;2;-;3;2;2;1297
"311290 CAPUTIRA";-;1;21;48;20;-;-;-;-;-;-;-;90
"311300 CARAI";3;9;18;50;19;3;-;-;-;1;-;3;106
"311310 CARANAIBA";-;-;1;3;-;1;-;2;-;-;-;-;7
"311320 CARANDAI";-;1;18;26;24;9;3;-;1;1;-;2;85
"311330 CARANGOLA";1;10;29;57;65;27;4;5;5;7;5;16;231
"311340 CARATINGA";14;57;173;80;27;21;3;1;1;-;4;36;417
"311350 CARBONITA";-;1;1;4;13;3;1;-;-;-;2;14;39
"311360 CAREACU";-;-;-;-;-;-;-;-;-;-;-;-;-
"311370 CARLOS CHAGAS";334;388;244;60;5;5;-;2;1;3;2;5;1049
"311380 CARMESIA";-;-;1;10;1;1;-;-;-;-;-;-;13
"311390 CARMO DA CACHOEIRA";1;-;1;9;6;-;-;-;-;-;-;-;17
"311400 CARMO DA MATA";7;26;119;261;245;42;7;2;4;2;11;34;760
"311410 CARMO DE MINAS";-;-;-;-;1;-;-;-;-;-;-;-;1
"311420 CARMO DO CAJURU";14;34;140;273;181;41;18;10;6;17;45;56;835
"311430 CARMO DO PARANAIBA";9;38;83;175;148;78;1;7;8;28;42;224;841
"311440 CARMO DO RIO CLARO";1;62;276;336;180;30;5;2;2;-;1;5;900
"311450 CARMOPOLIS DE MINAS";1;5;34;60;27;3;-;-;-;-;1;2;133
"311455 CARNEIRINHO";16;16;40;94;84;21;1;1;-;2;-;1;276
"311460 CARRANCAS";-;-;4;9;3;-;-;-;-;-;-;1;17
"311470 CARVALHOPOLIS";-;1;4;4;1;-;-;-;-;-;-;1;11
"311480 CARVALHOS";-;-;-;-;-;-;-;-;-;-;-;6;6
"311490 CASA GRANDE";1;-;2;2;6;4;1;1;1;2;1;1;22
"311500 CASCALHO RICO";-;1;7;21;21;4;3;2;8;3;3;3;76
"311510 CASSIA";1;4;60;327;296;44;9;5;7;9;8;7;777
"311520 CONCEICAO DA BARRA DE MINAS";-;-;-;-;2;2;-;-;-;-;-;-;4
"311530 CATAGUASES";6;7;26;52;76;29;11;2;2;5;111;248;575
"311535 CATAS ALTAS";-;1;7;13;22;4;1;-;1;-;-;36;85
"311540 CATAS ALTAS DA NORUEGA";-;-;2;1;2;-;-;-;-;1;-;-;6
"311545 CATUJI";-;5;13;27;39;8;1;-;-;-;-;-;93
"311547 CATUTI";-;1;-;-;5;6;1;8;3;2;1;1;28
"311550 CAXAMBU";-;-;1;6;8;2;-;1;-;1;1;-;20
"311560 CEDRO DO ABAETE";-;1;16;11;7;2;-;8;4;2;1;9;61
"311570 CENTRAL DE MINAS";-;2;5;2;2;-;-;-;-;2;-;-;13
"311580 CENTRALINA";58;84;76;41;6;2;1;-;-;3;-;-;271
"311590 CHACARA";-;-;2;15;21;4;2;-;-;-;-;1;45
"311600 CHALE";-;4;3;13;14;4;2;-;-;-;1;4;45
"311610 CHAPADA DO NORTE";10;32;53;15;7;-;1;-;-;-;3;6;127
"311615 CHAPADA GAUCHA";14;17;14;8;7;1;-;-;1;1;1;1;65
"311620 CHIADOR";-;-;1;1;5;3;7;1;-;51;215;78;362
"311630 CIPOTANEA";-;-;-;1;2;-;-;-;-;-;-;-;3
"311640 CLARAVAL";-;1;3;3;13;-;-;-;-;-;-;3;23
"311650 CLARO DOS POCOES";1;8;12;21;18;2;-;-;2;-;2;1;67
"311660 CLAUDIO";4;13;108;266;216;32;15;3;-;1;-;2;660
"311670 COIMBRA";-;7;17;45;17;8;2;2;2;1;1;2;104
"311680 COLUNA";-;4;2;6;3;-;5;-;-;1;-;2;23
"311690 COMENDADOR GOMES";1;5;3;15;10;2;-;1;-;-;-;-;37
"311700 COMERCINHO";-;-;-;-;-;-;-;-;-;-;-;1;1
"311710 CONCEICAO DA APARECIDA";8;7;42;85;90;23;2;1;-;1;1;3;263
"311720 CONCEICAO DAS PEDRAS";-;-;-;-;-;-;-;-;-;-;-;-;-
"311730 CONCEICAO DAS ALAGOAS";10;17;85;183;205;46;15;5;9;3;2;3;583
"311740 CONCEICAO DE IPANEMA";1;-;-;-;-;-;-;-;-;-;-;-;1
"311750 CONCEICAO DO MATO DENTRO";2;1;8;16;7;5;-;2;2;1;2;4;50
"311760 CONCEICAO DO PARA";-;4;42;51;40;9;2;-;-;1;2;3;154
"311770 CONCEICAO DO RIO VERDE";-;1;-;-;8;2;-;-;-;1;-;-;12
"311780 CONCEICAO DOS OUROS";-;-;1;1;1;-;-;-;-;-;-;-;3
"311783 CONEGO MARINHO";15;8;1;-;-;-;-;2;2;1;37;22;88
"311787 CONFINS";1;5;30;27;30;19;11;2;2;-;2;10;139
"311790 CONGONHAL";1;-;-;2;6;-;-;-;2;-;1;1;13
"311800 CONGONHAS";8;52;551;857;732;165;40;21;31;46;35;29;2567
"311810 CONGONHAS DO NORTE";-;-;-;-;-;-;-;-;-;-;-;1;1
"311820 CONQUISTA";-;8;14;93;112;22;4;1;1;-;-;-;255
"311830 CONSELHEIRO LAFAIETE";10;11;139;449;416;95;28;6;9;8;21;140;1332
"311840 CONSELHEIRO PENA";10;78;141;52;28;12;5;2;1;1;1;3;334
"311850 CONSOLACAO";-;-;-;-;-;-;-;-;-;-;-;-;-
"311860 CONTAGEM";98;232;841;1858;1528;380;91;50;49;67;92;339;5625
"311870 COQUEIRAL";-;14;95;185;82;18;1;-;-;-;-;-;395
"311880 CORACAO DE JESUS";6;12;12;1;-;1;2;2;5;-;11;-;52
"311890 CORDISBURGO";3;5;11;27;13;5;1;-;-;2;30;79;176
"311900 CORDISLANDIA";-;-;1;-;-;1;2;-;-;-;-;-;4
"311910 CORINTO";17;305;960;348;121;7;1;-;1;-;1;2;1763
"311920 COROACI";-;2;6;6;2;-;-;1;-;-;2;-;19
"311930 COROMANDEL";24;85;551;872;477;105;37;5;3;21;101;371;2652
"311940 CORONEL FABRICIANO";11;120;304;374;243;98;25;24;48;99;417;446;2209
"311950 CORONEL MURTA";1;14;7;1;3;-;-;-;1;2;2;-;31
"311960 CORONEL PACHECO";-;-;-;-;7;4;-;-;-;1;-;-;12
"311970 CORONEL XAVIER CHAVES";-;-;1;1;1;-;-;-;1;-;-;-;4
"311980 CORREGO DANTA";-;-;1;-;1;-;1;-;-;-;-;-;3
"311990 CORREGO DO BOM JESUS";-;-;-;-;-;-;-;-;1;-;-;-;1
"311995 CORREGO FUNDO";-;-;5;6;2;1;1;1;-;-;2;28;46
"312000 CORREGO NOVO";23;78;68;11;3;2;1;-;1;4;2;1;194
"312010 COUTO DE MAGALHAES DE MINAS";1;1;2;16;2;2;2;-;1;18;150;248;443
"312015 CRISOLITA";1;-;-;2;-;-;-;-;-;-;-;-;3
"312020 CRISTAIS";2;-;3;19;27;11;-;-;-;-;-;-;62
"312030 CRISTALIA";-;4;5;2;3;2;-;-;-;-;-;2;18
"312040 CRISTIANO OTONI";2;3;5;10;9;5;1;1;1;-;-;2;39
"312050 CRISTINA";1;-;-;-;1;-;-;-;-;-;1;-;3
"312060 CRUCILANDIA";1;2;3;48;91;18;2;-;-;-;-;4;169
"312070 CRUZEIRO DA FORTALEZA";2;4;31;86;77;12;-;-;-;-;-;-;212
"312080 CRUZILIA";-;1;3;9;4;-;-;-;1;-;-;2;20
"312083 CUPARAQUE";3;17;64;49;21;11;5;2;3;-;2;6;183
"312087 CURRAL DE DENTRO";-;1;-;-;-;-;-;-;-;-;-;-;1
"312090 CURVELO";54;233;459;181;67;22;6;6;10;15;183;580;1816
"312100 DATAS";-;-;1;2;2;-;-;-;-;-;-;6;11
"312110 DELFIM MOREIRA";-;-;-;1;-;-;-;-;-;-;-;-;1
"312120 DELFINOPOLIS";-;2;13;20;8;3;-;-;-;6;81;60;193
"312125 DELTA";13;35;66;182;17;7;2;-;2;1;-;-;325
"312130 DESCOBERTO";-;1;11;77;12;2;-;-;-;-;-;-;103
"312140 DESTERRO DE ENTRE RIOS";-;-;1;11;12;-;-;-;-;2;-;-;26
"312150 DESTERRO DO MELO";-;-;-;2;3;1;-;-;-;-;-;-;6
"312160 DIAMANTINA";14;19;62;102;107;24;12;8;8;18;22;69;465
"312170 DIOGO DE VASCONCELOS";-;1;10;1;-;-;-;-;-;-;-;-;12
"312180 DIONISIO";1;-;5;3;6;1;-;-;5;11;14;87;133
"312190 DIVINESIA";-;-;1;-;2;-;-;-;-;-;-;-;3
"312200 DIVINO";2;14;160;287;179;29;4;-;-;-;-;1;676
"312210 DIVINO DAS LARANJEIRAS";2;13;34;20;9;5;3;3;1;15;2;5;112
"312220 DIVINOLANDIA DE MINAS";1;-;26;24;14;8;1;1;-;1;-;-;76
"312230 DIVINOPOLIS";103;549;2539;3012;1561;345;83;62;43;37;95;186;8615
"312235 DIVISA ALEGRE";-;-;-;-;-;-;-;1;-;-;-;-;1
"312240 DIVISA NOVA";-;-;3;4;3;-;-;2;1;-;1;2;16
"312245 DIVISOPOLIS";1;1;-;2;1;-;-;-;-;-;-;-;5
"312247 DOM BOSCO";5;23;42;22;5;12;1;1;2;-;1;-;114
"312250 DOM CAVATI";21;79;52;23;5;1;-;-;-;-;1;10;192
"312260 DOM JOAQUIM";-;-;-;1;1;-;-;-;-;-;-;3;5
"312270 DOM SILVERIO";5;32;98;147;59;23;1;-;-;-;1;4;370
"312280 DOM VICOSO";-;-;-;-;-;-;-;-;-;-;-;-;-
"312290 DONA EUSEBIA";-;-;1;2;2;4;-;-;-;1;1;7;18
"312300 DORES DE CAMPOS";-;-;5;19;43;-;-;-;-;-;1;3;71
"312310 DORES DE GUANHAES";-;2;6;2;5;11;1;-;-;-;1;2;30
"312320 DORES DO INDAIA";2;2;26;35;66;19;3;2;1;2;4;22;184
"312330 DORES DO TURVO";-;-;4;11;2;1;-;-;-;-;-;-;18
"312340 DORESOPOLIS";-;-;2;7;9;1;-;-;8;1;8;24;60
"312350 DOURADOQUARA";62;107;56;16;2;6;-;-;-;-;-;-;249
"312352 DURANDE";-;1;24;83;71;15;3;-;-;-;4;41;242
"312360 ELOI MENDES";-;5;31;29;15;1;3;-;-;-;-;-;84
"312370 ENGENHEIRO CALDAS";32;133;74;22;4;2;1;-;-;-;1;2;271
"312380 ENGENHEIRO NAVARRO";9;57;143;44;29;4;2;-;-;1;12;65;366
"312385 ENTRE FOLHAS";2;18;126;2;4;1;-;-;1;-;-;4;158
"312390 ENTRE RIOS DE MINAS";-;-;6;11;14;-;1;-;-;1;1;-;34
"312400 ERVALIA";-;10;5;13;16;1;-;-;-;-;-;-;45
"312410 ESMERALDAS";13;146;199;256;261;151;52;24;24;54;51;25;1256
"312420 ESPERA FELIZ";2;3;47;160;189;55;2;1;-;1;9;28;497
"312430 ESPINOSA";35;44;88;31;56;48;23;13;4;2;2;1;347
"312440 ESPIRITO SANTO DO DOURADO";-;-;-;-;-;-;-;-;-;-;-;-;-
"312450 ESTIVA";-;-;-;-;-;-;-;-;1;1;-;-;2
"312460 ESTRELA DALVA";-;-;-;1;-;2;-;-;-;-;-;2;5
"312470 ESTRELA DO INDAIA";1;1;2;2;6;10;4;2;17;51;126;84;306
"312480 ESTRELA DO SUL";27;49;98;108;43;3;-;-;-;2;1;-;331
"312490 EUGENOPOLIS";58;48;19;17;-;2;-;-;-;-;1;-;145
"312500 EWBANK DA CAMARA";-;-;2;1;1;-;-;-;-;-;-;2;6
"312510 EXTREMA";-;1;3;3;5;1;-;-;6;8;5;10;42
"312520 FAMA";-;3;-;10;5;-;1;1;-;3;-;-;23
"312530 FARIA LEMOS";-;-;-;11;13;-;-;-;-;-;8;1;33
"312540 FELICIO DOS SANTOS";2;-;1;-;-;-;-;-;-;-;-;1;4
"312550 SAO GONCALO DO RIO PRETO";2;1;-;3;4;1;-;-;-;-;-;37;48
"312560 FELISBURGO";1;2;10;19;15;3;-;-;-;-;16;59;125
"312570 FELIXLANDIA";11;14;14;22;27;18;7;4;5;2;14;275;413
"312580 FERNANDES TOURINHO";3;8;1;6;5;2;2;1;1;2;-;2;33
"312590 FERROS";1;5;17;46;101;32;9;2;2;7;150;227;599
"312595 FERVEDOURO";1;19;104;97;13;1;-;-;-;-;-;-;235
"312600 FLORESTAL";-;10;12;24;21;6;3;5;-;5;9;5;100
"312610 FORMIGA";4;7;32;55;35;11;4;3;1;2;3;11;168
"312620 FORMOSO";2;5;33;68;114;128;37;-;1;3;1;19;411
"312630 FORTALEZA DE MINAS";1;20;133;145;25;1;-;-;-;-;-;-;325
"312640 FORTUNA DE MINAS";-;-;2;6;1;-;1;-;-;-;-;2;12
"312650 FRANCISCO BADARO";-;3;1;-;-;1;-;-;-;2;9;7;23
"312660 FRANCISCO DUMONT";5;28;27;5;5;1;1;2;2;-;5;39;120
"312670 FRANCISCO SA";69;175;157;33;21;1;2;-;2;1;1;4;466
"312675 FRANCISCOPOLIS";-;8;10;12;4;5;1;2;-;1;81;119;243
"312680 FREI GASPAR";4;5;1;1;3;-;-;-;1;-;-;2;17
"312690 FREI INOCENCIO";5;19;12;5;1;2;-;-;-;-;-;-;44
"312695 FREI LAGONEGRO";-;1;-;1;-;-;-;-;-;-;-;-;2
"312700 FRONTEIRA";3;2;35;83;124;62;39;19;111;148;373;270;1269
"312705 FRONTEIRA DOS VALES";1;-;-;-;-;-;-;1;-;-;-;-;2
"312707 FRUTA DE LEITE";-;3;2;4;2;1;-;-;-;-;3;-;15
"312710 FRUTAL";18;31;466;1317;1277;314;75;38;21;29;46;42;3674
"312720 FUNILANDIA";1;-;20;39;22;8;1;1;3;2;3;15;115
"312730 GALILEIA";3;-;3;1;1;-;-;1;2;-;5;1;17
"312733 GAMELEIRAS";2;6;-;-;-;-;-;-;-;-;-;-;8
"312735 GLAUCILANDIA";3;10;4;5;2;-;-;-;-;3;39;95;161
"312737 GOIABEIRA";4;2;2;1;-;-;-;-;-;-;-;-;9
"312738 GOIANA";-;-;2;8;31;17;-;-;1;2;1;21;83
"312740 GONCALVES";-;-;-;-;-;-;-;-;-;-;-;-;-
"312750 GONZAGA";-;1;5;11;11;3;1;-;2;4;1;-;39
"312760 GOUVEIA";-;1;2;1;11;-;-;-;1;1;-;42;59
"312770 GOVERNADOR VALADARES";333;863;814;475;466;268;142;66;27;47;59;43;3603
"312780 GRAO MOGOL";3;77;56;8;1;-;-;-;-;-;2;1;148
"312790 GRUPIARA";4;6;10;4;3;-;-;-;-;-;-;1;28
"312800 GUANHAES";2;28;57;52;15;2;-;-;2;2;6;-;166
"312810 GUAPE";3;11;101;225;172;25;-;-;-;-;-;1;538
"312820 GUARACIABA";-;4;14;2;1;1;1;-;-;-;-;-;23
"312825 GUARACIAMA";7;94;134;33;20;2;2;-;13;65;80;67;517
"312830 GUARANESIA";3;3;13;10;7;10;-;-;-;2;-;1;49
"312840 GUARANI";-;3;3;3;6;1;-;-;1;-;1;4;22
"312850 GUARARA";1;4;21;28;37;8;-;2;57;41;3;7;209
"312860 GUARDA-MOR";3;18;65;38;51;11;1;-;1;1;-;1;190
"312870 GUAXUPE";5;11;59;268;195;54;13;8;10;13;6;36;678
"312880 GUIDOVAL";-;3;3;2;-;1;2;-;1;-;1;1;14
"312890 GUIMARANIA";17;23;53;131;36;2;-;-;-;-;-;-;262
"312900 GUIRICEMA";-;2;4;3;6;8;-;-;-;-;6;7;36
"312910 GURINHATA";6;9;17;29;15;-;-;1;1;2;1;4;85
"312920 HELIODORA";-;-;-;-;-;-;-;-;-;-;-;-;-
"312930 IAPU";8;30;33;20;7;1;3;-;-;-;1;2;105
"312940 IBERTIOGA";-;-;-;3;1;2;-;-;-;1;-;-;7
"312950 IBIA";4;3;34;170;264;101;27;4;-;1;2;3;613
"312960 IBIAI";23;10;66;22;40;10;1;1;-;-;4;1;178
"312965 IBIRACATU";7;31;68;28;-;-;-;-;-;-;-;-;134
"312970 IBIRACI";2;2;22;11;3;1;-;-;-;-;-;4;45
"312980 IBIRITE";5;29;148;182;65;40;5;4;9;4;40;169;700
"312990 IBITIURA DE MINAS";-;-;-;-;-;-;-;-;-;-;-;-;-
"313000 IBITURUNA";-;-;-;3;-;1;-;-;-;2;-;-;6
"313005 ICARAI DE MINAS";53;35;38;6;8;8;2;3;1;-;1;1;156
